VPN;i1_dd_w_MW;i1_dd_f_MW;i1_ue_w_MW;i1_ue_f_MW
3;0,07;0,5;1,57;1,53
4;0,5;1,43;1,6;1,83
6;0,37;1,4;1,5;2,8
9;0,1;1,4;1,7;1,67
14;0,93;1,43;1,7;1,57
15;0,5;1,03;1,63;1,7
20;0,43;1,47;1,5;2,23
24;0,5;1,33;1,7;1,63
27;0,17;1;1,53;2,1
29;0,23;1,33;1,53;1,9
32;0,3;1,33;1,53;1,57
37;1,3;1,4;1,67;1,77
38;0,8;1,4;1,57;2,03
44;0,93;1,17;1,7;1,57
57;0,07;1,03;1,5;2,17
63;0,27;1,37;1,5;1,5
67;0,53;1,47;1,5;2,23
74;0,87;1,37;1,53;1,97
78;0,07;1,47;1,5;3,53
80;1,07;0,53;1,53;1,7
92;0,1;1,33;1,5;1,6
93;0,1;0,57;1,53;1,53
99;0,9;0,97;1,73;1,6
104;0,03;1,33;1,5;1,83
113;0,1;1,37;1,57;2,03
122;0,57;1,4;1,5;1,77
125;0,17;1,43;1,5;1,7
133;0,1;1,37;1,63;3
136;0;0,93;1,5;2,3
140;1,5;1,13;2,67;1,83
151;0,27;1,37;1,5;2,3
155;0,37;1,1;1,5;1,77
160;0,23;1,5;1,5;1,6
169;0,13;1,43;1,63;2,07
170;0,13;1,37;1,63;1,67
171;0,07;0,6;1,57;1,6
175;0,13;1,47;1,63;2,5
178;0,3;1,43;1,53;1,5
179;0,5;1,4;1,53;1,6
199;1,2;1,47;1,63;1,9
205;0,27;0,8;1,5;2,03
214;0,43;1,5;1,63;2
221;1,07;1,4;1,57;1,6
223;1,4;1,27;1,67;1,9
233;0,53;0,4;1,63;1,9
237;0,47;1,37;1,5;2,6
241;1,03;1,5;1,5;1,77
248;0,33;1,4;1,5;1,83
275;0,17;1,2;1,63;1,5
277;0,17;1;1,5;1,83
279;0,47;0,57;1,57;2,2
286;0;1,5;1,5;2,93
295;0,27;1,43;1,5;2,9
296;1;1,33;1,5;1,6
300;0,37;1,4;1,5;1,9
302;0,17;1,23;1,5;1,63
307;0,03;1,4;1,5;1,5
315;0,4;1,23;1,57;1,5
342;1,37;1,3;1,6;1,93
350;0,27;1,37;2,03;2,07
353;0,33;1,23;1,53;2,03
365;0,9;1,3;2,3;3
369;0,13;0,17;1,53;1,5
421;0,23;1,37;1,57;2,37
427;0,27;1,5;1,5;1,9
483;1,13;1,33;1,5;2,03
